PLU,NAME,GRS_SLS,SLS_CNT,VAT,PRICE,NET_SLS,RVC_NUM,MAJ_GRP_NUM
,DEL Sparkling*,2.08,1,0.42,,1.66,,
1E+11,Detox*,6.25,2,1.25,,5,,
11287,Diet Coke*,1.33,1,0.27,,1.06,,
,Garden*,4.79,1,0.96,,3.83,,
,Greenhou*,9.58,2,1.92,,7.66,,
,Grove*,9.58,2,1.92,,7.66,,
1E+11,Immunity*,3.12,1,0.62,,2.5,,
11288,Limonata*,1.54,1,0.31,,1.23,,
1E+11,Orchard*,19.17,4,3.83,,15.34,,
11290,Sparkling*,2.67,2,0.53,,2.14,,
11291,Still*,4,3,0.53,,3.47,,
20012,Vita Coco*,4,2,0.8,,3.2,,
